"activity_id","course_id","meeting_times","meeting_days","building","room","quarter"
"CSE123 AB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=3f2804ee-24e3-48bb-aa87-6b12cc919a87","10:50 AM - 11:50 AM","TTh","DEN","212","SU 23"
"CSE123 AC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=3f2804ee-24e3-48bb-aa87-6b12cc919a87","10:50 AM - 11:50 AM","TTh","DEN","113","SU 23"
"CSE123 AD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=3f2804ee-24e3-48bb-aa87-6b12cc919a87","10:50 AM - 11:50 AM","TTh","DEN","258","SU 23"
"CSE123 AE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=3f2804ee-24e3-48bb-aa87-6b12cc919a87","12:00 PM - 1:00 PM","TTh","DEN","111","SU 23"
"CSE123 AF","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=3f2804ee-24e3-48bb-aa87-6b12cc919a87","1:10 PM - 2:10 PM","TTh","DEN","111","SU 23"
"CSE123 AG","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=3f2804ee-24e3-48bb-aa87-6b12cc919a87","2:30 PM - 3:20 PM","TTh","MGH","248","AU 23"
"CSE123 AH","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=3f2804ee-24e3-48bb-aa87-6b12cc919a87","3:30 PM - 4:20 PM","TTh","MGH","288","AU 23"
"CSE123 AI","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=3f2804ee-24e3-48bb-aa87-6b12cc919a87","8:30 AM - 9:20 AM","TTh","MEB","251","AU 23"
"CSE123 AJ","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=3f2804ee-24e3-48bb-aa87-6b12cc919a87","9:30 AM - 10:20 AM","TTh","LOW","117","AU 23"
"CSE123 AK","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=3f2804ee-24e3-48bb-aa87-6b12cc919a87","10:30 AM - 11:20 AM","TTh","THO","235","AU 23"
"CSE123 AL","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=3f2804ee-24e3-48bb-aa87-6b12cc919a87","11:30 AM - 12:20 PM","TTh","MGH","074","AU 23"
"CSE123 AM","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=3f2804ee-24e3-48bb-aa87-6b12cc919a87","12:30 PM - 1:20 PM","TTh","MGH","248","AU 23"
"CSE123 AN","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=3f2804ee-24e3-48bb-aa87-6b12cc919a87","1:30 PM - 2:20 PM","TTh","MGH","074","AU 23"
"CSE123 AO","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=3f2804ee-24e3-48bb-aa87-6b12cc919a87","2:30 PM - 3:20 PM","TTh","MGH","284","AU 23"
"CSE123 AP","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=3f2804ee-24e3-48bb-aa87-6b12cc919a87","3:30 PM - 4:20 PM","TTh","MGH","248","AU 23"
"CSE154 A","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","8:30 AM - 9:20 AM","MWF","JHN","075","SU 23"
"CSE154 AA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","9:40 AM - 10:40 AM","TTh","JHN","026","SU 23"
"CSE154 AB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","10:50 AM - 11:50 AM","TTh","JHN","026","SU 23"
"CSE154 AC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","12:00 PM - 1:00 PM","TTh","HCK","320","SU 23"
"CSE154 AD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","1:10 PM - 2:10 PM","TTh","SAV","168","SU 23"
"CSE154 AE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","1:30 PM - 2:20 PM","TTh","CHL","105","AU 23"
"CSE154 AF","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","2:30 PM - 3:20 PM","TTh","KNE","220","AU 23"
"CSE154 AG","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","3:30 PM - 4:20 PM","TTh","LOW","114","AU 23"
"CSE154 A","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","8:30 AM - 9:20 AM","MWF","JHN","075","SU 23"
"CSE154 AA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","9:40 AM - 10:40 AM","TTh","JHN","026","SU 23"
"CSE154 AB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","10:50 AM - 11:50 AM","TTh","JHN","026","SU 23"
"CSE154 AC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","12:00 PM - 1:00 PM","TTh","HCK","320","SU 23"
"CSE154 AD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","1:10 PM - 2:10 PM","TTh","SAV","168","SU 23"
"CSE154 AE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","1:30 PM - 2:20 PM","TTh","CHL","105","AU 23"
"CSE154 AF","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","2:30 PM - 3:20 PM","TTh","KNE","220","AU 23"
"CSE154 AG","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=c6a0c79a-9fff-447c-88a9-ad71d877771f","3:30 PM - 4:20 PM","TTh","LOW","114","AU 23"
"CSE160 A","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","9:40 AM - 10:40 AM","MWF","SMI","211","SU 23"
"CSE160 AA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","9:40 AM - 10:40 AM","Th","DEN","258","SU 23"
"CSE160 AB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","10:50 AM - 11:50 AM","Th","SAV","131","SU 23"
"CSE160 AC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","12:00 PM - 1:00 PM","Th","DEM","102","SU 23"
"CSE160 AD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","12:30 PM - 1:20 PM","Th","DEN","212","AU 23"
"CSE160 AE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","1:30 PM - 2:20 PM","Th","MEB","251","AU 23"
"CSE160 AF","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","2:30 PM - 3:20 PM","Th","MGH","254","AU 23"
"CSE160 AG","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","3:30 PM - 4:20 PM","Th","MGH","287","AU 23"
"CSE160 AH","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","8:30 AM - 9:20 AM","Th","MGH","238","AU 23"
"CSE160 A","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","9:40 AM - 10:40 AM","MWF","SMI","211","SU 23"
"CSE160 AA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","9:40 AM - 10:40 AM","Th","DEN","258","SU 23"
"CSE160 AB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","10:50 AM - 11:50 AM","Th","SAV","131","SU 23"
"CSE160 AC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","12:00 PM - 1:00 PM","Th","DEM","102","SU 23"
"CSE160 AD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","12:30 PM - 1:20 PM","Th","DEN","212","AU 23"
"CSE160 AE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","1:30 PM - 2:20 PM","Th","MEB","251","AU 23"
"CSE160 AF","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","2:30 PM - 3:20 PM","Th","MGH","254","AU 23"
"CSE160 AG","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","3:30 PM - 4:20 PM","Th","MGH","287","AU 23"
"CSE160 AH","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=d4fb41e9-b53f-4093-92a6-2790786144e6","8:30 AM - 9:20 AM","Th","MGH","238","AU 23"
"CSE163 A","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=da10d70f-17a9-4975-ab11-6fd654ffc0c4","1:10 PM - 2:10 PM","MWF","SAV","260","SU 23"
"CSE163 AA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=da10d70f-17a9-4975-ab11-6fd654ffc0c4","12:00 PM - 12:50 PM","Th","GUG","218","SU 23"
"CSE163 AB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=da10d70f-17a9-4975-ab11-6fd654ffc0c4","1:10 PM - 2:10 PM","Th","SAV","155","SU 23"
"CSE163 AC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=da10d70f-17a9-4975-ab11-6fd654ffc0c4","2:20 PM - 3:20 PM","Th","SAV","130","SU 23"
"CSE163 A","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=da10d70f-17a9-4975-ab11-6fd654ffc0c4","1:10 PM - 2:10 PM","MWF","SAV","260","SU 23"
"CSE163 AA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=da10d70f-17a9-4975-ab11-6fd654ffc0c4","12:00 PM - 12:50 PM","Th","GUG","218","SU 23"
"CSE163 AB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=da10d70f-17a9-4975-ab11-6fd654ffc0c4","1:10 PM - 2:10 PM","Th","SAV","155","SU 23"
"CSE163 AC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=da10d70f-17a9-4975-ab11-6fd654ffc0c4","2:20 PM - 3:20 PM","Th","SAV","130","SU 23"
"CSE311 A","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","12:00 PM - 1:00 PM","MWF","DEM","102","SU 23"
"CSE311 AA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","12:00 PM - 1:00 PM","Th","BAG","131","SU 23"
"CSE311 AB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","1:10 PM - 2:10 PM","Th","BAG","131","SU 23"
"CSE311 AC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","11:30 AM - 12:20 PM","Th","MGH","271","AU 23"
"CSE311 AD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","12:30 PM - 1:20 PM","Th","ART","317","AU 23"
"CSE311 AE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","12:30 PM - 1:20 PM","Th","ECE","042","AU 23"
"CSE311 AF","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","1:30 PM - 2:20 PM","Th","SAV","156","AU 23"
"CSE311 AG","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","2:30 PM - 3:20 PM","Th","SAV","139","AU 23"
"CSE311 B","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","1:30 PM - 2:20 PM","MWF","CSE2","G20","AU 23"
"CSE311 BA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","11:30 AM - 12:20 PM","Th","MGH","251","AU 23"
"CSE311 BB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","12:30 PM - 1:20 PM","Th","SAV","156","AU 23"
"CSE311 BC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","1:30 PM - 2:20 PM","Th","MGH","287","AU 23"
"CSE311 BD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","2:30 PM - 3:20 PM","Th","MGH","251","AU 23"
"CSE311 BE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","12:30 PM - 1:20 PM","Th","SAV","136","AU 23"
"CSE311 BF","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","1:30 PM - 2:20 PM","Th","MGH","242","AU 23"
"CSE311 BG","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","2:30 PM - 3:20 PM","Th","MGH","287","AU 23"
"CSE311 A","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","12:00 PM - 1:00 PM","MWF","DEM","102","SU 23"
"CSE311 AA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","12:00 PM - 1:00 PM","Th","BAG","131","SU 23"
"CSE311 AB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","1:10 PM - 2:10 PM","Th","BAG","131","SU 23"
"CSE311 AC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","11:30 AM - 12:20 PM","Th","MGH","271","AU 23"
"CSE311 AD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","12:30 PM - 1:20 PM","Th","ART","317","AU 23"
"CSE311 AE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","12:30 PM - 1:20 PM","Th","ECE","042","AU 23"
"CSE311 AF","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","1:30 PM - 2:20 PM","Th","SAV","156","AU 23"
"CSE311 AG","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","2:30 PM - 3:20 PM","Th","SAV","139","AU 23"
"CSE311 B","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","1:30 PM - 2:20 PM","MWF","CSE2","G20","AU 23"
"CSE311 BA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","11:30 AM - 12:20 PM","Th","MGH","251","AU 23"
"CSE311 BB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","12:30 PM - 1:20 PM","Th","SAV","156","AU 23"
"CSE311 BC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","1:30 PM - 2:20 PM","Th","MGH","287","AU 23"
"CSE311 BD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","2:30 PM - 3:20 PM","Th","MGH","251","AU 23"
"CSE311 BE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","12:30 PM - 1:20 PM","Th","SAV","136","AU 23"
"CSE311 BF","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","1:30 PM - 2:20 PM","Th","MGH","242","AU 23"
"CSE311 BG","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9c4652a2-5702-4f74-8183-b146bbca2041","2:30 PM - 3:20 PM","Th","MGH","287","AU 23"
"CSE312 A","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=eabcdd6e-3e41-4282-827c-1bea26086781","12:00 PM - 1:00 PM","MWF","SMI","120","SU 23"
"CSE312 AA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=eabcdd6e-3e41-4282-827c-1bea26086781","12:00 PM - 1:00 PM","Th","SAV","264","SU 23"
"CSE312 AB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=eabcdd6e-3e41-4282-827c-1bea26086781","12:00 PM - 1:00 PM","Th","JHN","026","SU 23"
"CSE312 AC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=eabcdd6e-3e41-4282-827c-1bea26086781","11:30 AM - 12:20 PM","Th","CMU","B006","AU 23"
"CSE312 AD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=eabcdd6e-3e41-4282-827c-1bea26086781","12:30 PM - 1:20 PM","Th","ARC","G070","AU 23"
"CSE312 AE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=eabcdd6e-3e41-4282-827c-1bea26086781","1:30 PM - 2:20 PM","Th","SAV","132","AU 23"
"CSE312 AF","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=eabcdd6e-3e41-4282-827c-1bea26086781","2:30 PM - 3:20 PM","Th","SAV","168","AU 23"
"CSE312 A","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=eabcdd6e-3e41-4282-827c-1bea26086781","12:00 PM - 1:00 PM","MWF","SMI","120","SU 23"
"CSE312 AA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=eabcdd6e-3e41-4282-827c-1bea26086781","12:00 PM - 1:00 PM","Th","SAV","264","SU 23"
"CSE312 AB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=eabcdd6e-3e41-4282-827c-1bea26086781","12:00 PM - 1:00 PM","Th","JHN","026","SU 23"
"CSE312 AC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=eabcdd6e-3e41-4282-827c-1bea26086781","11:30 AM - 12:20 PM","Th","CMU","B006","AU 23"
"CSE312 AD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=eabcdd6e-3e41-4282-827c-1bea26086781","12:30 PM - 1:20 PM","Th","ARC","G070","AU 23"
"CSE312 AE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=eabcdd6e-3e41-4282-827c-1bea26086781","1:30 PM - 2:20 PM","Th","SAV","132","AU 23"
"CSE312 AF","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=eabcdd6e-3e41-4282-827c-1bea26086781","2:30 PM - 3:20 PM","Th","SAV","168","AU 23"
"CSE331 A","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","10:50 AM - 11:50 AM","MWF","MUE","153","SU 23"
"CSE331 AA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","1:10 PM - 2:10 PM","Th","ECE","105","SU 23"
"CSE331 AB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","1:10 PM - 2:10 PM","Th","SAV","130","SU 23"
"CSE331 AC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","12:30 PM - 1:20 PM","Th","MOR","221","AU 23"
"CSE331 AD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","1:30 PM - 2:20 PM","Th","MOR","234","AU 23"
"CSE331 AE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","2:30 PM - 3:20 PM","Th","SIG","230","AU 23"
"CSE331 B","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","10:30 AM - 11:20 AM","MWF","CSE2","G01","AU 23"
"CSE331 BA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","8:30 AM - 9:20 AM","Th","ECE","031","AU 23"
"CSE331 BB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","9:30 AM - 10:20 AM","Th","ECE","031","AU 23"
"CSE331 BC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","10:30 AM - 11:20 AM","Th","ECE","031","AU 23"
"CSE331 BD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","11:30 AM - 12:20 PM","Th","ECE","054","AU 23"
"CSE331 A","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","10:50 AM - 11:50 AM","MWF","MUE","153","SU 23"
"CSE331 AA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","1:10 PM - 2:10 PM","Th","ECE","105","SU 23"
"CSE331 AB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","1:10 PM - 2:10 PM","Th","SAV","130","SU 23"
"CSE331 AC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","12:30 PM - 1:20 PM","Th","MOR","221","AU 23"
"CSE331 AD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","1:30 PM - 2:20 PM","Th","MOR","234","AU 23"
"CSE331 AE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","2:30 PM - 3:20 PM","Th","SIG","230","AU 23"
"CSE331 B","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","10:30 AM - 11:20 AM","MWF","CSE2","G01","AU 23"
"CSE331 BA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","8:30 AM - 9:20 AM","Th","ECE","031","AU 23"
"CSE331 BB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","9:30 AM - 10:20 AM","Th","ECE","031","AU 23"
"CSE331 BC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","10:30 AM - 11:20 AM","Th","ECE","031","AU 23"
"CSE331 BD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=7cc9b193-b8ca-4c16-8be6-9f260e6c1d58","11:30 AM - 12:20 PM","Th","ECE","054","AU 23"
"CSE332 A","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9f0283ac-b8f0-46cc-834e-2d6cb06573cb","9:40 AM - 10:40 AM","MWF","JHN","075","SU 23"
"CSE332 AA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9f0283ac-b8f0-46cc-834e-2d6cb06573cb","9:40 AM - 10:40 AM","Th","SAV","131","SU 23"
"CSE332 AB","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9f0283ac-b8f0-46cc-834e-2d6cb06573cb","9:40 AM - 10:40 AM","Th","SAV","130","SU 23"
"CSE332 AC","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9f0283ac-b8f0-46cc-834e-2d6cb06573cb","10:50 AM - 11:50 AM","Th","GUG","218","SU 23"
"CSE332 AD","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9f0283ac-b8f0-46cc-834e-2d6cb06573cb","3:30 PM - 4:20 PM","Th","DEN","113","AU 23"
"CSE332 AE","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9f0283ac-b8f0-46cc-834e-2d6cb06573cb","11:30 AM - 12:20 PM","Th","SAV","168","AU 23"
"CSE332 A","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9f0283ac-b8f0-46cc-834e-2d6cb06573cb","9:40 AM - 10:40 AM","MWF","JHN","075","SU 23"
"CSE332 AA","https://course-app-api.planning.sis.uw.edu/api/courses/CSE%20121/details?courseId=9f0283ac-b8f0-46cc-834e-2d6cb06573cb","9:40 AM - 10:40 AM","Th","SAV","131","SU 23"
